instagram_post,source_path,mentioned_handles,matched_workbook_handles,suggested_place_names,suggested_workbook_rows,suggested_site_ids,image_count,review_status,notes
post-1,content/instagram/post-1.md,bauxpenco,,,,,2,no_workbook_handle_match,Review caption and images before accepting relationship.
post-2,content/instagram/post-2.md,lastprisonerproject,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-3,content/instagram/post-3.md,puffitup,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-4,content/instagram/post-4.md,simrellcollection,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-5,content/instagram/post-5.md,cloudalchemist,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-6,content/instagram/post-6.md,cardinalspirits,cardinalspirits,Cardinal Spirits,2600,,0,strong_handle_match,Review caption and images before accepting relationship.
post-7,content/instagram/post-7.md,thewaystation,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-8,content/instagram/post-8.md,thewaystation,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-9,content/instagram/post-9.md,bellforestprod,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-10,content/instagram/post-10.md,nutsnboltsbeer,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-11,content/instagram/post-11.md,lylabugcreations | etsy,,,,,4,no_workbook_handle_match,Review caption and images before accepting relationship.
post-12,content/instagram/post-12.md,drinkhighwest,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-13,content/instagram/post-13.md,thehawaiijohnny | olabrewco,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-14,content/instagram/post-14.md,iam_djuhoh | wearerehab | clairefontaine_officiel | carandache | chilis | schneiderpengermany,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-15,content/instagram/post-15.md,,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-16,content/instagram/post-16.md,preciousthingsbeer,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-17,content/instagram/post-17.md,xeobrewing,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-18,content/instagram/post-18.md,,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-19,content/instagram/post-19.md,r.randomactsofcards,,,,,5,no_workbook_handle_match,Review caption and images before accepting relationship.
post-20,content/instagram/post-20.md,8thwonderbrew,8thwonderbrew,8th Wonder Brewery,6754,,0,strong_handle_match,Review caption and images before accepting relationship.
post-21,content/instagram/post-21.md,hughjundys1 | wacom,,,,,2,no_workbook_handle_match,Review caption and images before accepting relationship.
post-22,content/instagram/post-22.md,flyinglionbrewing,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-23,content/instagram/post-23.md,paper_mate | newellbrands | aaronrodgers12 | lamy_official,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-24,content/instagram/post-24.md,twistedbarley,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-25,content/instagram/post-25.md,bearpawriverbrew | brewersassoc | mountaintoad,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-26,content/instagram/post-26.md,srkempf,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-27,content/instagram/post-27.md,govmikedewine,,,,,3,no_workbook_handle_match,Review caption and images before accepting relationship.
post-28,content/instagram/post-28.md,,,,,,4,no_workbook_handle_match,Review caption and images before accepting relationship.
post-29,content/instagram/post-29.md,simrellcollection | instagram,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-30,content/instagram/post-30.md,crookedpecker,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-31,content/instagram/post-31.md,,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-32,content/instagram/post-32.md,ableebenezerbeer,,,,,2,no_workbook_handle_match,Review caption and images before accepting relationship.
post-33,content/instagram/post-33.md,iam_djuhoh,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-34,content/instagram/post-34.md,192brewingco,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-35,content/instagram/post-35.md,brbrewpub,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-36,content/instagram/post-36.md,lordsquinkton,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-37,content/instagram/post-37.md,,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-38,content/instagram/post-38.md,lastprisonerproject,,,,,3,no_workbook_handle_match,Review caption and images before accepting relationship.
post-39,content/instagram/post-39.md,nutsnboltsbeer,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-40,content/instagram/post-40.md,alliesouth,,,,,2,no_workbook_handle_match,Review caption and images before accepting relationship.
post-41,content/instagram/post-41.md,dogfishinn,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
post-42,content/instagram/post-42.md,tornlabelkc | 1984_kcmo,,,,,0,no_workbook_handle_match,Review caption and images before accepting relationship.
